kappa,mean_bessel,mean_quad,mean_ode_reflected,susceptibility_quad,mean_zero_variance_root,mean_wrong_coefficient_reflected,ode_bessel_difference
4.175,0.670476857613605,0.670476857613605,0.6704768576136141,0.06868100547864203,0.7033018071723832,0.7609519467461071,9.103828801926284e-15
4.2,0.6721857737664306,0.6721857737664307,0.6721857737664302,0.0680335899985744,0.7047191962370362,0.762354597706492,4.440892098500626e-16
4.225,0.6738786018932076,0.6738786018932076,0.6738786018932059,0.06739394809279359,0.7061235637476941,0.7637415018245411,1.6653345369377348e-15
4.25,0.6755555351873672,0.6755555351873672,0.6755555351873608,0.06676198815721529,0.7075150810188204,0.7651129019065492,6.439293542825908e-15
4.275,0.677216764557631,0.6772167645576309,0.6772167645576418,0.06613761902480936,0.7088939165290495,0.7664690364780562,1.0769163338864018e-14
4.3,0.6788624786393519,0.6788624786393519,0.678862478639351,0.06552074999841323,0.710260235975414,0.7678101398548509,8.881784197001252e-16
4.325,0.6804928638066513,0.6804928638066512,0.6804928638066488,0.06491129088164349,0.7116142023264697,0.7691364422135121,2.55351295663786e-15
4.35,0.6821081041853051,0.682108104185305,0.6821081041852992,0.06430915200796694,0.7129559758743426,0.7704481696616172,5.88418203051333e-15
4.375,0.6837083816663353,0.6837083816663353,0.683708381666347,0.06371424426799954,0.7142857142857143,0.7717455443067233,1.1657341758564144e-14
4.4,0.685293875920262,0.6852938759202619,0.685293875920261,0.06312647913509689,0.7156035726517691,0.7730287843252528,9.992007221626409e-16
4.425,0.6868647644119746,0.6868647644119746,0.6868647644119715,0.06254576868929984,0.71690970353712,0.7742981040301309,3.1086244689504383e-15
4.45,0.6884212224161813,0.6884212224161815,0.6884212224161756,0.06197202563969717,0.7182042570277359,0.7755537139383187,5.662137425588298e-15
4.475,0.6899634230334,0.6899634230333997,0.689963423033412,0.061405163345262914,0.7194873807778865,0.7767958208370697,1.199040866595169e-14
4.5,0.6914915372064486,0.6914915372064485,0.6914915372064474,0.06084509583423048,0.7207592200561265,0.778024627849655,1.2212453270876722e-15
4.525,0.6930057337374061,0.6930057337374063,0.6930057337374032,0.06029173782205849,0.7220199177903367,0.7792403345002956,2.9976021664879227e-15
4.55,0.694506179305003,0.694506179305003,0.694506179304997,0.059745004728044226,0.7232696146118425,0.7804431367780493,5.995204332975845e-15
4.575,0.69599303848241,0.6959930384824099,0.6959930384824227,0.05920481269063915,0.7245084488986251,0.7816332272005022,1.2656542480726785e-14
4.6,0.6974664737553966,0.6974664737553966,0.6974664737553957,0.05867107858151921,0.7257365568176474,0.782810794875813,8.881784197001252e-16
4.625,0.6989266455408258,0.698926645540826,0.6989266455408231,0.05814372001845919,0.7269540723663095,0.7839760255645811,2.7755575615628914e-15
4.65,0.7003737122054534,0.7003737122054534,0.7003737122054464,0.05762265537706668,0.7281611274130536,0.785129101740434,6.994405055138486e-15
4.675,0.7018078300850109,0.7018078300850108,0.7018078300850237,0.05710780380141517,0.729357851737135,0.7862702026499612,1.27675647831893e-14
4.7,0.7032291535035379,0.703229153503538,0.703229153503537,0.05659908521363066,0.7305443730675754,0.7873995043719735,8.881784197001252e-16
4.725,0.7046378347929436,0.7046378347929434,0.7046378347929414,0.056096420322475415,0.7317208171213169,0.7885171798753798,2.220446049250313e-15
4.75,0.7060340243127695,0.7060340243127694,0.7060340243127613,0.05559973063096657,0.7328873076405934,0.7896233990767483,8.215650382226158e-15
4.775,0.7074178704701315,0.7074178704701314,0.7074178704701435,0.05510893844308684,0.7340439664295334,0.790718328896477,1.199040866595169e-14
4.8,0.7087895197398183,0.7087895197398184,0.7087895197398177,0.05462396686961113,0.7351909133900132,0.7918021333146298,5.551115123125783e-16
4.825,0.7101491166845266,0.7101491166845264,0.7101491166845251,0.05414473983310286,0.7363282665567739,0.7928749734255383,1.5543122344752192e-15
4.85,0.7114968039752083,0.7114968039752082,0.7114968039751995,0.0536711820721103,0.7374561421318196,0.793937007491572,8.770761894538737e-15
4.875,0.7128327224115162,0.7128327224115163,0.7128327224115258,0.053203219144606906,0.738574654518111,0.7949883909962147,9.658940314238862e-15
4.9,0.7141570109423233,0.7141570109423232,0.7141570109423233,0.05274077743070815,0.7396839163525679,0.7960292766959051,0.0
4.925,0.7154698066863046,0.7154698066863046,0.7154698066863037,0.05228378413469559,0.7407840385383986,0.7970598146716676,8.881784197001252e-16
4.95,0.7167712449525595,0.7167712449525594,0.7167712449525538,0.051832167286394726,0.7418751302767678,0.7980801523791553,5.662137425588298e-15
4.975,0.7180614592612601,0.7180614592612601,0.7180614592612656,0.051385855741925335,0.7429572990978172,0.7990904346983196,5.551115123125783e-15
5.0,0.7193405813643129,0.7193405813643129,0.7193405813643124,0.05094477918386464,0.744030650891055,0.8000908039820179,4.440892098500626e-16
